2         	10013     	P         	1.98      	5.99794003204395    	6.02      	          	DPS_FVMV_200uA_DPS1
2         	10020     	P         	1.98      	5.99298084992752    	6.02      	          	DPS_FVMV_200uA_DPS8
2         	10019     	P         	1.98      	5.99717708094911    	6.02      	          	DPS_FVMV_200uA_DPS7
2         	10018     	P         	1.98      	5.99603265430686    	6.02      	          	DPS_FVMV_200uA_DPS6
2         	10017     	P         	1.98      	5.99755855649653    	6.02      	          	DPS_FVMV_200uA_DPS5
2         	10016     	P         	1.98      	5.9925993743801     	6.02      	          	DPS_FVMV_200uA_DPS4
2         	10015     	P         	1.98      	6.00022888532845    	6.02      	          	DPS_FVMV_200uA_DPS3
3         	10018     	P         	1.98      	5.99107347219043    	6.02      	          	DPS_FVMV_200uA_DPS6
3         	10019     	P         	1.98      	6.00328068970779    	6.02      	          	DPS_FVMV_200uA_DPS7
3         	10020     	P         	1.98      	5.99374380102235    	6.02      	          	DPS_FVMV_200uA_DPS8
3         	10017     	P         	1.98      	5.99832150759136    	6.02      	          	DPS_FVMV_200uA_DPS5
3         	10016     	P         	1.98      	5.99183642328527    	6.02      	          	DPS_FVMV_200uA_DPS4
3         	10015     	P         	1.98      	5.99832150759136    	6.02      	          	DPS_FVMV_200uA_DPS3
3         	10014     	P         	1.98      	5.99565117875944    	6.02      	          	DPS_FVMV_200uA_DPS2
3         	10013     	P         	1.98      	5.99755855649653    	6.02      	          	DPS_FVMV_200uA_DPS1
4         	10020     	P         	1.98      	5.99221789883268    	6.02      	          	DPS_FVMV_200uA_DPS8
4         	10019     	P         	1.98      	6.00213626306554    	6.02      	          	DPS_FVMV_200uA_DPS7
4         	10018     	P         	1.98      	5.99488822766461    	6.02      	          	DPS_FVMV_200uA_DPS6
4         	10017     	P         	1.98      	5.99488822766461    	6.02      	          	DPS_FVMV_200uA_DPS5
4         	10016     	P         	1.98      	5.99679560540169    	6.02      	          	DPS_FVMV_200uA_DPS4
4         	10015     	P         	1.98      	5.9990844586862     	6.02      	          	DPS_FVMV_200uA_DPS3
4         	10014     	P         	1.98      	5.99526970321202    	6.02      	          	DPS_FVMV_200uA_DPS2
4         	10013     	P         	1.98      	5.99565117875944    	6.02      	          	DPS_FVMV_200uA_DPS1

1         	33        	P         	3.27      	3.29556725413901    	3.34      	V         	DPS_FVMV_20uA_DPS1
1         	34        	P         	3.27      	3.30052643625544    	3.34      	V         	DPS_FVMV_20uA_DPS2
1         	35        	P         	3.27      	3.29442282749676    	3.34      	V         	DPS_FVMV_20uA_DPS3
1         	36        	P         	3.27      	3.30014496070802    	3.34      	V         	DPS_FVMV_20uA_DPS4
1         	37        	P         	3.27      	3.29900053406577    	3.34      	V         	DPS_FVMV_20uA_DPS5
1         	38        	P         	3.27      	3.2997634851606     	3.34      	V         	DPS_FVMV_20uA_DPS6
1         	39        	P         	3.27      	3.29556725413901    	3.34      	V         	DPS_FVMV_20uA_DPS7
1         	40        	P         	3.27      	3.30205233844511    	3.34      	V         	DPS_FVMV_20uA_DPS8
2         	34        	P         	3.27      	3.29823758297093    	3.34      	V         	DPS_FVMV_20uA_DPS2
2         	33        	P         	3.27      	3.29785610742351    	3.34      	V         	DPS_FVMV_20uA_DPS1
2         	40        	P         	3.27      	3.29709315632868    	3.34      	V         	DPS_FVMV_20uA_DPS8
2         	39        	P         	3.27      	3.29861905851835    	3.34      	V         	DPS_FVMV_20uA_DPS7
2         	38        	P         	3.27      	3.29594872968643    	3.34      	V         	DPS_FVMV_20uA_DPS6
2         	37        	P         	3.27      	3.30014496070802    	3.34      	V         	DPS_FVMV_20uA_DPS5
2         	36        	P         	3.27      	3.29518577859159    	3.34      	V         	DPS_FVMV_20uA_DPS4
2         	35        	P         	3.27      	3.30052643625544    	3.34      	V         	DPS_FVMV_20uA_DPS3
3         	38        	P         	3.27      	3.29518577859159    	3.34      	V         	DPS_FVMV_20uA_DPS6
3         	39        	P         	3.27      	3.30128938735027    	3.34      	V         	DPS_FVMV_20uA_DPS7
3         	40        	P         	3.27      	3.29709315632868    	3.34      	V         	DPS_FVMV_20uA_DPS8
3         	37        	P         	3.27      	3.29938200961318    	3.34      	V         	DPS_FVMV_20uA_DPS5
3         	36        	P         	3.27      	3.29671168078126    	3.34      	V         	DPS_FVMV_20uA_DPS4
3         	35        	P         	3.27      	3.29900053406577    	3.34      	V         	DPS_FVMV_20uA_DPS3
3         	34        	P         	3.27      	3.29709315632868    	3.34      	V         	DPS_FVMV_20uA_DPS2
3         	33        	P         	3.27      	3.29900053406577    	3.34      	V         	DPS_FVMV_20uA_DPS1
4         	40        	P         	3.27      	3.29556725413901    	3.34      	V         	DPS_FVMV_20uA_DPS8
4         	39        	P         	3.27      	3.30014496070802    	3.34      	V         	DPS_FVMV_20uA_DPS7
4         	38        	P         	3.27      	3.29671168078126    	3.34      	V         	DPS_FVMV_20uA_DPS6
4         	37        	P         	3.27      	3.29861905851835    	3.34      	V         	DPS_FVMV_20uA_DPS5
4         	36        	P         	3.27      	3.29785610742351    	3.34      	V         	DPS_FVMV_20uA_DPS4
4         	35        	P         	3.27      	3.29785610742351    	3.34      	V         	DPS_FVMV_20uA_DPS3
